octave,tone,time,
4,e,0.25, 
4,e,0.25,
4,f,0.25,
4,g,0.25,
4,g,0.25,
4,f,0.25,
4,e,0.25,
4,d,0.25,
4,c,0.25,
4,c,0.25,
4,d,0.25,
4,e,0.25,
4,e,0.375,
4,d,0.125,
4,d,0.5,
4,e,0.25, 
4,e,0.25,
4,f,0.25,
4,g,0.25,
4,g,0.25,
4,f,0.25,
4,e,0.25,
4,d,0.25,
4,c,0.25,
4,c,0.25,
4,d,0.25,
4,e,0.25,
4,d,0.375,
4,c,0.125,
4,c,0.5,
4,d,0.25,
4,d,0.25,
4,e,0.25,
4,c,0.25,
4,d,0.25, 
4,e,0.125,
4,f,0.125,
4,e,0.25,
4,c,0.25,
4,d,0.25, 
4,e,0.125,
4,f,0.125,
4,e,0.25,
4,d,0.25,
4,c,0.25,
4,d,0.25,
3,g,0.5,
4,e,0.25,
4,e,0.25,
4,f,0.25,
4,g,0.25,
4,g,0.25,
4,f,0.25,
4,e,0.25,
4,d,0.25,
4,c,0.25,
4,c,0.25,
4,d,0.25,
4,e,0.25,
4,d,0.375,
4,c,0.125,
4,c,0.5,
